,a,b
163,"[-242.32238580160518, 366.92674661820877, -822.7726091166221, -1824.5516275874468]","[0.8082323709826376, -1.2200522844983832, 2.7336465442731637, 6.042049089059345]"
164,"[-679.2270542922525, 286.2240561922659, -1151.4253210715826, -784.5530567349481]","[2.2765377889761886, -0.9508844526864361, 3.840884053947366, 2.6081921915196444]"
165,"[-948.0091363100421, 254.47486504091555, -1369.2132360636335, -420.90922063777003]","[3.172977306361741, -0.8482578394107436, 4.563530336172185, 1.3959190722383905]"
166,"[-1248.069084035661, 535.1163754817551, -1047.5964334411426, -131.89050973448076]","[4.177330395031986, -1.7875851475203066, 3.4955421402928097, 0.43769799735759396]"
167,"[-1276.2393620807748, -30.53913570880494, -1120.9713980761126, -147.67964031582252]","[4.271943676229811, 0.0997561094083479, 3.7397728811335575, 0.48903181478943014]"
168,"[-946.6440025894542, -528.600125200612, -1667.1907883384301, -155.3138927976899]","[3.1691499579038926, 1.7660685562213587, 5.558683949120341, 0.5139295268611681]"
169,"[-528.0883532729349, -233.31114403914933, -2001.4142288527987, -13.057962769333466]","[1.7699325368185925, 0.7773977062871119, 6.671222809162398, 0.042148299082660906]"
170,"[-1029.6233207685566, -87.65329707693435, -1645.8666636524351, 39.523102256065606]","[3.4538646637378507, 0.2882230504895574, 5.482349596229121, -0.13195783251155194]"
171,"[-1131.8715887290832, 28.406345550017964, -1396.5987847099834, -638.1515843212744]","[3.7986025540958384, -0.10055930223697124, 4.644930286784674, 2.1155441342444696]"
172,"[398.4358949511115, -171.86633752019523, 1108.33790512868, 760.3037799895013]","[-1.3322469781239896, 0.5697497029980023, -3.6875221819113513, -2.5203553412376545]"
173,"[-574.9268177422699, -703.9560026498282, -1475.8184484553242, 1805.0663273126409]","[1.9290885752758844, 2.3482972290191686, 4.904953402059446, -5.981791705347278]"
174,"[-161.9846319079632, -187.62126659223952, -780.0832074348955, 1153.4718368111892]","[0.5432588651661177, 0.6225583784314016, 2.5864726500983104, -3.825444504473476]"
175,"[-555.8909623031242, -433.4294297595071, -1273.26305049978, -1737.3533969947232]","[1.859774354192994, 1.4411084331736184, 4.224099151884776, 5.758150417831548]"
176,"[-1517.67099817605, 140.64874284412113, -2885.28910436836, 203.7975181732023]","[5.070539125541917, -0.4715751544289231, 9.576305138133444, -0.6752279603207687]"
177,"[-705.4738577180083, -132.62495664482165, -2059.4260124246575, 443.2204539763715]","[2.3581611608544932, 0.4383414520053561, 6.834721454024111, -1.4674627269316438]"
178,"[-3660.2190441228026, -311.5901957938354, -903.6623235782527, 631.2591946856697]","[12.210370775183746, 1.0329385052698978, 2.995966886955465, -2.0910428802995717]"
179,"[-2321.327938591062, -168.92362018721698, -487.7501491116123, 381.4143070436877]","[7.737709514779856, 0.5568541890043345, 1.614407511017905, -1.2632505873387867]"
180,"[836.0216822788926, -902.7903031424631, 623.9252953452199, 2188.282835494392]","[-2.777616267409968, 2.9939334330064393, -2.077747247209014, -7.26380463592546]"
181,"[1926.7186583113248, -1146.0521220657445, 912.4577966737332, 2377.834213406851]","[-6.403980638912593, 3.8028429860535287, -3.0357309349795014, -7.897330447324207]"
182,"[-1455.742262859135, -1494.9157464705258, -2160.7549361491915, 529.4621010092222]","[4.844045176245926, 4.971429702098017, 7.195428534245734, -1.7579135634254937]"
183,"[-446.71639477801506, -610.678745053549, -2670.7313806471457, -425.0442304541947]","[1.4857669478836133, 2.03068228694169, 8.908378720132676, 1.4142696152098149]"
184,"[-286.9820723077945, 106.24107431198341, -2308.0165326224774, -240.8398415772228]","[0.9557754780443558, -0.3603185847012928, 7.70000415830949, 0.8002962779915029]"
185,"[-239.5897171344606, 2010.6478918791483, -1705.6588756552694, 672.7376783628722]","[0.7979817406454274, -6.719369066590783, 5.686165958667385, -2.236699906721808]"
186,"[-613.9251285091541, 1001.397254307857, -1381.2095678071946, 79.07003647691351]","[2.0474852957027196, -3.3522471818705424, 4.603341093994561, -0.2652371727364064]"
187,"[-50.53873369984905, 193.80485067692337, -854.4648575422148, 697.0872577099584]","[0.16546215979338993, -0.6555860572280627, 2.844601008715717, -2.316123133811798]"
188,"[-103.85477892198996, -215.29730992555565, -898.8563056513967, 1302.0690885294496]","[0.3417812877715115, 0.7088475754085118, 2.9880185986814065, -4.318868849399339]"
189,"[305.7682716811023, 744.9667350321783, -766.3362819920068, 1446.1570466299845]","[-1.0276413201867236, -2.4881485765429936, 2.5345614035365496, -4.789689356642978]"
190,"[-346.4163637084718, 421.2342729341838, -123.10280925263024, 837.9292960762677]","[1.1494171381002452, -1.405998799821131, 0.4020682168983692, -2.7752594504522303]"
191,"[-204.58252646415943, 454.5451934370531, 1052.6080178249524, 1344.5707936709618]","[0.6767952885317733, -1.511679686253854, -3.4805789753036436, -4.437876514829218]"
192,"[-481.22452577600944, 634.2745522113181, 870.0397468573789, 1792.9229335394277]","[1.5994117505819894, -2.103473150434453, -2.872169277448801, -5.909590284345263]"
193,"[-670.3488736435419, 854.8251920407521, 347.07394786869315, 1681.915548306199]","[2.2313823508056583, -2.8312832787263438, -1.148098273184557, -5.538979278198764]"
194,"[-330.4616293924649, 987.1082373972961, 270.5968740261266, 1320.824082853971]","[1.0990050690353748, -3.2666478897703395, -0.894274665320674, -4.346890829575782]"
195,"[-149.66039641465568, 560.2916191691354, 46.83274603211103, 1520.2382543839258]","[0.498100458822382, -1.8572365770791837, -0.15711463729878627, -4.998389591320433]"
196,"[-95.2452352334208, 601.3004588819111, 107.58412175405009, 1281.6668796366039]","[0.318071688349068, -1.993342976976901, -0.3577082069231656, -4.210837399074941]"
197,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
198,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
